id,longName,shortName
pistol,Loaded .45-calibre pistol,Pistol
plasticraincoat,Plastic raincoat (large),Raincoat
funnel,A funnel, Funnel
oilcanister,A 7 litre can of oil/petrol mixture,Oil Petrol Mix
matchbox,Box of matches,Matches
machete,Machete,Machete
strongrum,One bottle of 160 per cent proof rum,Rum
rubberboots,A pair of rubber boots,Rubber Boots
mosquitonetting,A quantity of mosquito netting,Mosquito Netting.png
filterpaper,A set of filter paper,Filter Paper
Towels,Three towels,Towels
campingstool,A camping stool,Camping Stool
